Color ,Year,sp,Abundance
Yellow,2015,M.  sinaloana,54
Yellow,2015,A. mellifera,81
Yellow,2015,B. pensylvanicus,8
Yellow,2015,Diadasia sp.,27
Yellow,2015,Melissodes sp.,0
Yellow,2015,Augochlorella sp.,39
Yellow,2015,Lassioglossum (Dialictus),45
Yellow,2015,Lassioglossum (Evylaeus),31
Yellow,2015,L. littoralis,0
Yellow,2015,Megachile sp.,11
Blue,2015,M.  sinaloana,26
Blue,2015,A. mellifera,56
Blue,2015,B. pensylvanicus,4
Blue,2015,Diadasia sp.,16
Blue,2015,Melissodes sp.,0
Blue,2015,Augochlorella sp.,20
Blue,2015,Lassioglossum (Dialictus),21
Blue,2015,Lassioglossum (Evylaeus),17
Blue,2015,L. littoralis,0
Blue,2015,Megachile sp.,14
Violet,2015,M.  sinaloana,9
Violet,2015,A. mellifera,24
Violet,2015,B. pensylvanicus,0
Violet,2015,Diadasia sp.,7
Violet,2015,Melissodes sp.,0
Violet,2015,Augochlorella sp.,8
Violet,2015,Lassioglossum (Dialictus),11
Violet,2015,Lassioglossum (Evylaeus),15
Violet,2015,L. littoralis,0
Violet,2015,Megachile sp.,1
Yellow,2016,M.  sinaloana,45
Yellow,2016,A. mellifera,44
Yellow,2016,B. pensylvanicus,7
Yellow,2016,Diadasia sp.,26
Yellow,2016,Melissodes sp.,14
Yellow,2016,Augochlorella sp.,29
Yellow,2016,Lassioglossum (Dialictus),48
Yellow,2016,L. littoralis,23
Yellow,2016,Megachile sp.,16
Yellow,2016,M.  sinaloana,20
Blue,2016,A. mellifera,41
Blue,2016,B. pensylvanicus,2
Blue,2016,Diadasia sp.,12
Blue,2016,Melissodes sp.,3
Blue,2016,Augochlorella sp.,18
Blue,2016,Lassioglossum (Dialictus),29
Blue,2016,L. littoralis,16
Blue,2016,Megachile sp.,6
Blue,2016,M.  sinaloana,6
Blue,2016,A. mellifera,19
Violet,2016,B. pensylvanicus,0
Violet,2016,Diadasia sp.,4
Violet,2016,Melissodes sp.,3
Violet,2016,Augochlorella sp.,7
Violet,2016,Lassioglossum (Dialictus),14
Violet,2016,L. littoralis,5
Violet,2016,Megachile sp.,1
Violet,2018,M.  sinaloana,50
Violet,2018,A. mellifera,35
Violet,2018,B. pensylvanicus,0
Yellow,2018,Diadasia sp.,28
Yellow,2018,Melissodes sp.,10
Yellow,2018,Augochlorella sp.,33
Yellow,2018,Lassioglossum (Dialictus),55
Yellow,2018,L. littoralis,23
Yellow,2018,Megachile sp.,11
Yellow,2018,M.  sinaloana,30
Yellow,2018,A. mellifera,19
Yellow,2018,B. pensylvanicus,0
Yellow,2018,Diadasia sp.,12
Blue,2018,Melissodes sp.,5
Blue,2018,Augochlorella sp.,13
Blue,2018,Lassioglossum (Dialictus),26
Blue,2018,L. littoralis,15
Blue,2018,Megachile sp.,3
Blue,2018,M.  sinaloana,8
Blue,2018,A. mellifera,9
Blue,2018,B. pensylvanicus,0
Blue,2018,Diadasia sp.,2
Blue,2018,Melissodes sp.,0
Violet,2018,Augochlorella sp.,5
Violet,2018,Lassioglossum (Dialictus),11
Violet,2018,L. littoralis,4
Violet,2018,Megachile sp.,1
Violet,2019,M.  sinaloana,54
Violet,2019,A. mellifera,44
Violet,2019,B. pensylvanicus,0
Violet,2019,Diadasia sp.,26
Violet,2019,Melissodes sp.,17
Violet,2019,Augochlorella sp.,44
Amarillo,2019,Lassioglossum (Dialictus),59
Amarillo,2019,L. littoralis,29
Amarillo,2019,Megachile sp.,14
Azul,2019,M.  sinaloana,33
Azul,2019,A. mellifera,33
Azul,2019,B. pensylvanicus,0
Azul,2019,Diadasia sp.,18
Azul,2019,Melissodes sp.,10
Azul,2019,Augochlorella sp.,25
Azul,2019,Lassioglossum (Dialictus),36
Azul,2019,L. littoralis,13
Azul,2019,Megachile sp.,7
Morado,2019,M.  sinaloana,12
Morado,2019,A. mellifera,14
Morado,2019,B. pensylvanicus,0
Morado,2019,Diadasia sp.,7
Morado,2019,Melissodes sp.,1
Morado,2019,Augochlorella sp.,11
Morado,2019,Lassioglossum (Dialictus),15
Morado,2019,L. littoralis,7
Morado,2019,Megachile sp.,3
